Year,Total,Affirmative,Defensive,,,,,
1990,"8,472",5672,2800,,,,,
1991,"5,035",2908,2127,,,,,
1992,"6,307",4123,2184,,,,,
1993,"9,543",7509,2034,,,,,
1994,"13,828",11775,2053,,,,,
1995,"20,703",17573,3130,,,,,
1996,"23,532",18624,4908,,,,,
1997,"22,939",16380,6559,,,,,
1998,"20,507",13216,7291,,,,,
1999,"26,571",18150,8421,,,,,
2000,"32,514",23278,9236,,,,,
2001,"39,148",29147,10001,,,,,
2002,"36,937",25960,10977,,,,,
2003,"28,743",15367,13376,,,,,
2004,"27,376",14354,13022,,,,,
2005,"25,274",13517,11757,,,,,
2006,"26,289",12985,13304,,,,,
2007,"25,234",12375,12859,,,,,
2008,"22,976",12084,10892,,,,,
2009,"22,236",11936,10300,,,,,
2010,"21,106",11202,9904,,,,,
2011,"24,904",13376,11528,,,,,
2012,"29,367",17389,11978,,,,,
2013,"25,199",15266,9933,,,,,
