region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Africa,3858,2695,2062,2518,2651,2828,2644,3029,5022,4844
Asia ,3040,3870,3333,4425,4841,5546,5414,6459,8022,7579
Europe,864,676,550,675,753,811,728,962,1211,779
North America,2206,2909,3598,2239,1750,1479,1427,1534,1651,1152
Oceania,65,23,18,27,23,17,8,19,20,10
South America,4264,3308,3383,2438,1974,1126,928,1327,1425,862
Afghanistan,35,14,9,43,45,81,114,119,158,97
Albania,178,92,43,33,31,33,26,18,20,12
Algeria,10,6,5,3,8,5,9,8,12,3
Angola,6,5,3,5,4,3,0,15,9,8
Armenia,250,162,155,203,105,85,85,47,36,77
Azerbaijan ,89,34,28,16,10,23,21,18,28,23
Bahrain,0,0,0,0,0,0,0,4,22,4
Bangladesh,41,37,36,29,32,46,35,30,29,45
Belarus,145,112,100,86,78,113,65,115,200,106
Bhutan,0,0,8,13,4,8,0,0,0,0
Bolivia,5,3,0,3,8,10,15,19,21,8
Bosnia-Herzegovi0,13,25,17,13,9,5,7,5,8,5
Brazil ,24,28,36,43,38,51,46,38,46,27
Bulgaria,42,43,34,37,48,24,17,13,19,14
Burki0 Faso,7,9,13,31,17,21,41,55,58,66
Burma,190,98,94,125,153,168,158,143,98,55
Burundi,25,17,29,25,28,21,21,20,20,25
Cambodia,42,23,13,11,5,5,8,0,0,0
Cameroon,599,391,235,299,286,223,183,225,251,147
Central African Republic  ,7,17,5,6,12,15,13,6,9,10
Chad ,20,13,19,31,35,37,18,8,12,5
"Chi0, People‰Ûªs Republic   ",930,2234,1550,1828,2037,2716,2898,3887,4738,4072
Colombia  ,2899,2214,2178,1491,1113,637,358,325,337,187
"Congo, Democratic Republic    ",70,54,47,36,38,31,30,49,71,50
"Congo, Republic   ",93,60,58,72,53,42,64,88,79,68
Cote d‰ÛªIvoire ,86,94,73,53,43,38,37,104,110,55
Cuba ,26,71,50,43,64,27,24,20,24,24
Djibouti,0,0,0,0,0,7,16,46,15,12
Dominican Republic,0,0,0,3,0,0,0,4,16,4
Ecuador,9,7,10,14,11,8,9,5,18,13
Egypt ,143,142,176,194,234,308,315,752,2570,3102
El Salvador,119,183,498,416,314,202,157,97,135,76
Eritrea,132,141,112,152,181,237,179,155,121,85
Estonia,10,10,0,3,0,5,0,0,0,0
Ethiopia,755,469,440,510,587,700,681,564,663,494
Fiji   ,65,23,18,27,23,16,8,18,17,10
Gambia,31,28,37,43,50,49,53,69,109,57
Georgia,57,37,14,13,20,21,17,9,11,12
Gha0,10,4,5,8,6,9,6,5,8,5
Guatemala ,206,247,474,539,378,347,293,281,313,230
Guinea,157,127,95,123,119,121,126,74,59,26
Guinea-Bissau    ,11,0,0,0,0,0,0,0,0,0
Haiti ,1781,2282,2423,1062,729,595,667,816,632,443
Honduras  ,5,16,26,19,22,38,51,59,138,109
India ,144,72,52,75,102,147,102,101,94,94
Indonesia ,100,99,431,567,383,177,70,84,88,44
Iran  ,203,147,139,171,328,257,396,366,607,612
Iraq  ,161,192,180,391,586,544,276,262,314,408
Israel,4,7,4,10,13,17,7,5,5,4
Jamaica,0,9,7,12,19,42,49,49,48,36
Jordan,19,28,17,25,23,19,7,11,48,26
Kazakhstan,24,10,15,23,18,26,33,54,88,67
Kenya,188,131,84,181,215,234,179,107,126,90
Kosovo,X,X,X,X,0,5,23,18,28,18
Kyrgyzstan ,18,13,9,22,26,31,50,147,127,79
Laos ,26,12,13,33,15,13,16,4,3,0
Latvia,14,8,4,5,0,3,0,4,3,0
Lebanon  ,30,25,10,50,44,37,21,19,22,14
Liberia,332,128,65,55,63,47,36,23,15,33
Libya ,3,0,3,0,3,0,11,66,43,30
Macedonia ,7,0,8,0,3,4,4,3,0,11
Madagascar,0,0,0,0,0,0,11,5,5,0
Malaysia  ,11,6,4,5,7,6,0,10,7,8
Mali ,18,25,28,51,35,54,77,58,59,61
Mauritania ,59,44,17,12,5,17,34,29,28,25
Mexico,53,85,84,103,176,190,136,173,305,209
Moldova  ,11,16,12,35,49,114,81,133,172,97
Mongolia  ,60,72,56,103,77,49,103,96,80,40
Morocco  ,5,6,3,0,0,4,0,12,9,4
Nepal,163,237,211,281,347,493,408,417,572,473
Nicaragua ,0,8,20,20,28,20,20,13,21,6
Niger ,22,9,8,4,11,4,8,0,0,4
Nigeria,31,31,23,28,36,38,31,31,64,63
Pakistan  ,182,123,93,132,163,197,201,255,234,271
Peru ,108,92,59,44,43,18,21,33,27,13
Philippines ,24,12,8,20,16,16,12,3,14,9
Romania  ,68,16,16,26,10,6,3,14,8,4
Russia,231,236,231,287,372,365,390,466,542,347
Rwanda,31,51,64,70,75,59,96,70,85,58
Saudi Arabia ,4,5,7,0,8,7,16,10,17,43
Senegal,18,9,7,11,9,23,10,15,16,8
Serbia and Montenegro   ,57,26,30,65,52,37,18,16,34,20
Sierra Leone ,62,44,23,20,20,35,22,14,14,6
Somalia,156,74,57,75,70,95,62,29,50,20
South Africa,4,11,5,4,4,5,3,6,9,5
Sri Lanka  ,18,16,15,34,39,126,107,50,34,34
Sudan,84,59,47,84,86,73,70,99,122,83
Syria ,26,19,12,8,23,8,12,46,327,763
Tajikistan  ,7,0,0,3,10,14,23,36,24,25
Tanzania  ,11,19,4,6,8,6,7,10,12,3
Togo ,349,199,87,60,39,35,15,17,20,22
Turkey,24,16,9,16,34,25,47,31,31,25
Turkmenistan ,20,21,26,15,13,7,11,17,9,6
Uganda,59,46,31,78,55,56,88,89,87,49
Ukraine,49,62,40,64,64,73,67,133,152,121
Uzbekistan ,111,74,88,109,105,99,78,111,83,63
Venezuela ,1198,952,1080,834,753,393,467,898,960,608
Viet0m,6,8,15,11,21,35,22,18,15,8
Yemen,5,0,7,26,18,25,43,34,31,44
Zambia,14,13,6,9,9,0,6,8,0,0
Zimbabwe ,238,203,141,159,194,153,61,79,56,38
All other countries ,98,75,58,82,81,87,102,86,110,96
Unknown  ,57,36,41,53,92,129,53,46,38,40
